Country,"Adults (1,000)",Wealth per adult (USD),Wealth per adult (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Distribution of adults (%) by wealth range (USD),Gini (%)
Chile,"13,166","62,222","23,812",36.0,52.6,10.9,0.5,100,77.3
China,"1,085,003","47,810","16,333",33.4,59.1,7.2,0.3,100,71.4
Colombia,"33,751","18,239","4,937",71.1,26.8,2.0,0.1,100,80.7
Comoros,412,"2,729",971,95.5,4.3,0.2,0.0,100,76.6
"Congo, Dem. Rep.","35,869",331,123,99.8,0.2,0.0,0.0,100,74.3
"Congo, Rep.","2,546","3,361","1,219",94.5,5.3,0.2,0.0,100,75.5
Costa Rica,"3,490","31,717","9,813",50.7,43.6,5.5,0.2,100,76.9
Cote d'Ivoire,"11,501","2,958","1,119",95.2,4.7,0.2,0.0,100,73.8
Croatia,"3,342","35,951","17,131",33.5,60.9,5.4,0.2,100,63.1
Cyprus,909,"100,308","10,384",48.0,41.0,9.9,1.1,100,89.8
Czech Republic,"8,529","61,489","17,018",30.7,60.6,8.2,0.5,100,75.8
Denmark,"4,450","286,712","60,999",35.6,20.4,38.5,5.5,100,83.6
Djibouti,569,"5,389","2,123",88.0,11.7,0.3,0.0,100,70.8
Dominica,54,"23,937","5,548",68.0,28.2,3.6,0.2,100,84.0
Ecuador,"10,507","11,068","3,211",79.8,18.9,1.2,0.0,100,77.6
Egypt,"57,160","3,717",346,96.3,3.4,0.3,0.0,100,90.9
El Salvador,"4,024","15,219","4,616",72.8,25.3,1.9,0.1,100,75.9
Equatorial Guinea,695,"9,398","3,057",79.0,19.8,1.2,0.0,100,78.1
Eritrea,"2,462","3,412","1,499",94.2,5.6,0.1,0.0,100,66.0
Estonia,"1,034","57,806","18,895",31.5,58.6,9.4,0.5,100,71.1
Ethiopia,"51,036",167,78,100.0,0.0,0.0,0.0,100,61.2
Fiji,574,"8,031","3,254",80.0,19.3,0.6,0.0,100,69.4
Finland,"4,327","161,062","45,606",21.0,47.0,30.1,1.9,100,76.7
France,"49,478","280,580","106,827",13.9,34.5,47.2,4.3,100,68.7
Gabon,"1,124","16,342","6,973",61.5,36.7,1.8,0.0,100,70.0
Gambia,936,889,327,99.0,1.0,0.0,0.0,100,75.5
Georgia,"2,940","16,725","7,078",59.7,38.5,1.7,0.1,100,67.8
Germany,"67,470","214,893","35,169",40.6,21.6,34.5,3.2,100,81.6
Ghana,"14,972",934,398,99.3,0.7,0.0,0.0,100,68.2
Greece,"9,019","108,127","40,789",14.0,60.9,24.1,1.0,100,68.2
Grenada,71,"16,081","3,704",76.0,21.5,2.4,0.1,100,84.2
Guinea,"6,077",816,323,99.4,0.6,0.0,0.0,100,71.6
Guinea-Bissau,909,701,296,99.6,0.4,0.0,0.0,100,69.7
Guyana,475,"4,620","1,454",90.2,9.4,0.4,0.0,100,75.0
Haiti,"6,300","2,472",619,96.0,3.8,0.2,0.0,100,82.0
Honduras,"5,417","10,675","2,887",81.3,17.4,1.3,0.1,100,80.4
Hong Kong,"6,224","244,672","58,905",15.0,50.1,32.0,2.9,100,81.9
Hungary,"7,826","37,594","15,026",38.4,55.5,6.0,0.2,100,66.2
Iceland,248,"555,726","203,847",17.0,17.0,55.5,10.5,100,73.1
India,"850,210","7,024","1,289",90.8,8.6,0.6,0.0,100,85.4
Indonesia,"170,221","8,919","1,597",85.4,13.7,0.8,0.1,100,84.0
Iran,"57,018","4,779","1,899",91.6,8.1,0.3,0.0,100,70.5
Iraq,"19,160","14,192","6,515",62.7,36.2,1.1,0.0,100,62.5
Ireland,"3,460","232,952","72,473",34.0,23.5,38.7,3.8,100,83.0
Israel,"5,405","174,129","54,966",17.8,48.7,31.4,2.1,100,76.6
Italy,"48,527","217,787","79,239",8.0,47.4,41.8,2.8,100,68.9
Jamaica,"1,983","8,924","2,507",83.5,15.5,1.0,0.0,100,78.8
Japan,"105,108","227,235","103,861",5.3,43.6,48.4,2.7,100,63.1
Jordan,"5,371","13,328","5,745",66.7,32.1,1.1,0.0,100,67.7
Kazakhstan,"12,086","5,122",152,96.9,2.7,0.3,0.0,100,95.2
Kenya,"24,546","2,306",880,96.5,3.4,0.1,0.0,100,73.2
Korea,"41,381","171,739","65,463",2.0,57.8,38.3,1.8,100,67.0
Kuwait,"3,045","91,374","26,278",34.5,48.0,16.5,1.0,100,80.9
Kyrgyzstan,"3,668","4,200","1,797",93.0,6.8,0.2,0.0,100,67.3
Laos,"3,946","5,215","1,567",93.6,5.9,0.5,0.0,100,79.7
Latvia,"1,557","33,958","7,540",55.0,38.6,6.2,0.2,100,78.8
Lebanon,"4,162","33,726","3,932",77.4,18.8,3.5,0.3,100,88.9
Lesotho,"1,208","2,640",857,95.7,4.2,0.2,0.0,100,79.5
Liberia,"2,279","1,015",410,99.0,0.9,0.0,0.0,100,70.9
Libya,"4,085","61,701","26,939",28.2,56.4,15.1,0.3,100,66.5
Lithuania,"2,306","24,600","11,161",46.7,50.1,3.2,0.1,100,65.5
Luxembourg,456,"412,127","164,284",0.0,36.0,57.2,6.8,100,66.3
Macedonia,"1,612","12,551","5,640",68.0,30.8,1.2,0.0,100,65.5
Madagascar,"12,471",432,179,99.8,0.2,0.0,0.0,100,70.2
Malawi,"8,493",141,54,99.9,0.1,0.0,0.0,100,73.3
Malaysia,"21,372","27,970","7,000",60.6,36.2,3.0,0.2,100,82.0
Maldives,308,"6,808","2,702",84.0,15.4,0.6,0.0,100,71.8
Mali,"7,834","1,094",468,99.0,0.9,0.0,0.0,100,68.2
Malta,347,"140,629","76,116",14.0,48.0,36.7,1.3,100,63.1
Mauritania,"2,239","1,756",764,98.1,1.8,0.0,0.0,100,66.7
Mauritius,943,"35,668","16,472",37.0,56.7,6.2,0.1,100,64.0
Mexico,"83,850","20,620","5,784",65.7,31.8,2.3,0.1,100,80.0
Mongolia,"1,960","10,295","4,616",73.5,25.7,0.8,0.0,100,65.9
Montenegro,475,"24,746","12,060",45.0,51.9,3.0,0.1,100,63.1
Morocco,"23,218","9,305","2,426",85.1,14.0,0.8,0.1,100,80.2
Mozambique,"13,360",482,201,99.8,0.2,0.0,0.0,100,70.0
Myanmar,"34,334","1,515",739,98.9,1.1,0.0,0.0,100,58.2
Namibia,"1,356","11,704","3,944",75.5,22.9,1.5,0.1,100,77.4
Nepal,"17,150","2,054",834,97.4,2.5,0.1,0.0,100,69.9
Netherlands,"13,260","253,205","114,935",15.0,32.6,48.8,3.6,100,73.6
New Zealand,"3,486","289,798","98,613",10.5,40.0,45.1,4.4,100,70.8
Nicaragua,"3,858","3,721","1,054",93.0,6.7,0.3,0.0,100,77.8
Niger,"8,579",863,379,99.4,0.5,0.0,0.0,100,66.0
Nigeria,"88,264","1,572",208,98.6,1.3,0.1,0.0,100,89.4
Norway,"4,057","291,103","80,054",27.6,25.6,42.2,4.6,100,79.1
Oman,"3,450","41,804","14,304",43.8,50.2,5.6,0.4,100,78.8
Pakistan,"110,625","3,816","1,711",93.8,6.0,0.2,0.0,100,65.0
Panama,"2,655","28,897","8,358",55.3,39.8,4.6,0.2,100,79.5
Papua New Guinea,"4,488","6,254","2,117",90.0,9.4,0.6,0.0,100,76.0
Paraguay,"4,181","9,075","2,589",83.6,15.4,1.0,0.0,100,78.5
Peru,"20,766","22,508","6,036",65.1,32.2,2.4,0.2,100,79.5
Philippines,"62,043","8,349","1,915",89.0,10.2,0.7,0.1,100,82.6
Poland,"30,626","31,794","10,572",48.4,47.5,3.9,0.2,100,72.2
Portugal,"8,377","109,362","31,313",19.9,57.4,21.5,1.1,100,73.6
Qatar,"2,177","121,638","59,978",12.0,53.3,33.8,0.8,100,61.5
Romania,"15,582","20,321","6,658",62.0,35.4,2.5,0.1,100,72.8
Russia,"112,039","19,997","2,739",80.0,17.9,1.9,0.2,100,87.5
Rwanda,"6,123",660,254,99.5,0.5,0.0,0.0,100,72.8
Samoa,105,"18,154","6,516",63.0,34.5,2.4,0.1,100,73.9
Sao Tome and Principe,96,"2,987","1,311",95.3,4.6,0.1,0.0,100,65.0
Saudi Arabia,"22,629","43,174","12,847",45.4,48.9,5.3,0.4,100,81.0
Senegal,"7,525","3,077","1,270",94.8,5.0,0.1,0.0,100,70.5
Serbia,"6,809","10,743","4,903",72.4,26.7,0.9,0.0,100,65.3
Seychelles,68,"48,652","21,349",35.0,54.0,10.8,0.2,100,67.9
Sierra Leone,"3,596",355,153,99.8,0.2,0.0,0.0,100,67.1
Singapore,"4,552","283,118","91,656",13.8,38.2,44.0,4.0,100,75.8
Slovakia,"4,339","34,781","21,203",19.4,76.7,3.8,0.1,100,49.8
Slovenia,"1,676","79,097","34,043",13.5,69.0,16.9,0.6,100,64.6
Solomon Islands,312,"9,035","3,835",78.0,21.2,0.8,0.0,100,68.9
South Africa,"35,434","22,191","6,726",63.7,33.1,3.1,0.1,100,80.6
Spain,"37,410","191,177","87,188",17.2,37.1,43.5,2.3,100,69.7
Sri Lanka,"14,311","5,758","2,415",86.9,12.8,0.4,0.0,100,68.7
St. Lucia,131,"11,146","3,525",78.0,20.8,1.2,0.0,100,74.1
St. Vincent and the Grenadines,75,"10,882","2,547",82.0,16.5,1.4,0.1,100,83.3
Sudan,"19,846",530,231,99.7,0.2,0.0,0.0,100,66.5
Suriname,368,"5,198","1,147",92.1,7.3,0.6,0.0,100,84.6
Swaziland,719,"4,219","1,388",93.6,6.1,0.3,0.0,100,77.6
Sweden,"7,689","249,765","39,709",36.0,29.5,30.0,4.5,100,86.5
Switzerland,"6,811","530,244","183,339",13.7,23.6,52.1,10.6,100,74.1
Syria,"9,477","1,190",500,98.9,1.0,0.0,0.0,100,69.0
Taiwan,"19,139","212,375","78,177",15.7,40.5,41.1,2.7,100,73.0
Tajikistan,"4,995","1,364",618,98.8,1.1,0.0,0.0,100,64.6
Tanzania,"25,944",865,383,99.5,0.5,0.0,0.0,100,65.0
Thailand,"52,639","9,969","1,085",91.7,7.5,0.7,0.1,100,90.2
Timor-Leste,584,"2,513","1,303",97.7,2.2,0.1,0.0,100,54.1
Togo,"3,800","2,324",917,96.5,3.4,0.1,0.0,100,71.9
Tonga,58,"15,255","6,796",62.0,36.5,1.5,0.0,100,67.1
Trinidad and Tobago,"1,002","15,719","5,076",70.5,27.5,1.9,0.1,100,74.8
Tunisia,"8,014","14,932","6,226",64.3,34.1,1.6,0.0,100,68.3
Turkey,"54,411","18,555","2,677",82.0,16.0,1.9,0.1,100,87.1
Turkmenistan,"3,548","10,446","4,824",72.0,27.3,0.7,0.0,100,61.9
Uganda,"17,941",710,287,99.5,0.5,0.0,0.0,100,71.4
Ukraine,"35,267","1,563",40,99.0,0.8,0.1,0.0,100,95.5
United Arab Emirates,"7,752","88,173","25,267",35.5,47.5,16.0,1.0,100,81.4
United Kingdom,"50,919","279,048","97,169",17.5,33.1,44.6,4.8,100,74.7
United States,"242,972","403,974","61,667",28.4,30.8,33.6,7.1,100,85.2
Uruguay,"2,484","39,194","12,556",44.3,47.9,7.5,0.3,100,74.1
Vanuatu,152,"5,355","2,346",88.0,11.7,0.3,0.0,100,67.6
Vietnam,"67,300","4,560","1,806",93.1,6.6,0.3,0.0,100,70.8
Yemen,"14,122","1,967",594,97.0,2.9,0.1,0.0,100,80.1
Zambia,"7,641","1,197",390,98.4,1.6,0.1,0.0,100,78.7
Zimbabwe,"8,103","3,216","1,317",94.5,5.3,0.1,0.0,100,70.7
